,Question,Newest Label,Outdated Label
1,Is cranberry juice effective for treating urinary tract infections?,SUPPORTED,REFUTED
2,Is add-on lamotrigine effective in reducing seizures for people with drug-resistant focal epilepsy?,SUPPORTED,NOT ENOUGH INFORMATION
3,Do statins help reduce cardiovascular events in adults with chronic kidney disease not requiring dialysis?,SUPPORTED,NOT ENOUGH INFORMATION
4,Do antibiotics effectively reduce pain in children with acute otitis media?,SUPPORTED,NOT ENOUGH INFORMATION
8,Does cell salvage reduce the need for blood transfusions in elective surgery?,REFUTED,NOT ENOUGH INFORMATION
11,Can interventions help prevent kidney complications in people with sickle cell disease?,SUPPORTED,REFUTED
14,Is sacral colpopexy a safer and more effective surgical option for apical vaginal prolapse compared to other interventions?,NOT ENOUGH INFORMATION,SUPPORTED
15,Do social network and social support interventions improve outcomes in cardiac rehabilitation for people with heart disease?,NOT ENOUGH INFORMATION,SUPPORTED
16,Does Serenoa repens help improve lower urinary tract symptoms in men with benign prostatic hyperplasia?,SUPPORTED,NOT ENOUGH INFORMATION
20,Are IL-6 blocking agents effective in treating severe COVID-19 compared to standard care or placebo?,SUPPORTED,REFUTED
22,Does convalescent plasma transfusion reduce mortality in patients with COVID-19?,REFUTED,SUPPORTED
24,Are airway clearance techniques effective for people with cystic fibrosis?,SUPPORTED,NOT ENOUGH INFORMATION
26,Does postnatal administration of phenobarbital reduce the risk of intraventricular hemorrhage in preterm infants?,SUPPORTED,REFUTED
27,Do antibiotics improve recovery from acute bacterial conjunctivitis compared to no treatment?,SUPPORTED,NOT ENOUGH INFORMATION
28,Does inducing labor for suspected fetal macrosomia reduce the risk of birth complications?,NOT ENOUGH INFORMATION,REFUTED
29,Does planned hospital birth reduce risks for low-risk pregnant women compared to planned home birth?,REFUTED,NOT ENOUGH INFORMATION
30,Do interventions improve adherence to iron chelation therapy in people with sickle cell disease or thalassaemia?,SUPPORTED,REFUTED
31,Does splinting help improve symptoms in people with carpal tunnel syndrome?,SUPPORTED,REFUTED
33,Does remdesivir improve clinical outcomes in patients with COVID-19 compared to standard care?,SUPPORTED,NOT ENOUGH INFORMATION
35,Are glucocorticoids effective in treating croup in children?,REFUTED,SUPPORTED
36,Do bisphosphonates improve bone health in people with cystic fibrosis?,SUPPORTED,NOT ENOUGH INFORMATION
37,Do inhaled corticosteroids help reduce the risk of bronchopulmonary dysplasia in preterm infants?,NOT ENOUGH INFORMATION,REFUTED
42,Do antifibrinolytic treatments improve outcomes for patients with aneurysmal subarachnoid haemorrhage?,NOT ENOUGH INFORMATION,SUPPORTED
46,Is surgery an effective treatment for obesity in children and adolescents?,SUPPORTED,NOT ENOUGH INFORMATION
49,Does hydroxyurea help reduce pain and complications in people with sickle cell disease?,NOT ENOUGH INFORMATION,REFUTED
54,Does using a shunt during carotid endarterectomy improve patient outcomes?,SUPPORTED,NOT ENOUGH INFORMATION
55,Does surgery provide better outcomes than non-surgical treatment for proximal humeral fractures?,REFUTED,NOT ENOUGH INFORMATION
57,Can signs and symptoms accurately determine if someone has COVID-19?,SUPPORTED,NOT ENOUGH INFORMATION
58,Does blastocyst-stage embryo transfer improve live birth rates compared to cleavage-stage transfer?,NOT ENOUGH INFORMATION,SUPPORTED
62,Do anticoagulants provide benefits for people hospitalized with COVID-19?,SUPPORTED,REFUTED
63,Do medications help reduce PTSD symptoms in adults?,SUPPORTED,NOT ENOUGH INFORMATION
64,Does a structured discharge plan for patients reduce hospital readmissions?,REFUTED,NOT ENOUGH INFORMATION
66,Does delaying enteral feeding for very preterm or VLBW infants reduce the risk of necrotising enterocolitis or death?,NOT ENOUGH INFORMATION,SUPPORTED
67,Does immediate oral antiplatelet therapy improve outcomes in patients with acute ischaemic stroke?,SUPPORTED,NOT ENOUGH INFORMATION
68,Do self-management interventions improve health-related quality of life for people with COPD compared to usual care?,SUPPORTED,NOT ENOUGH INFORMATION
69,Do orthodontic treatments effectively correct posterior crossbites in children and adolescents?,SUPPORTED,NOT ENOUGH INFORMATION
70,Is a restrictive red blood cell transfusion strategy as effective as a liberal strategy in reducing 30-day mortality?,REFUTED,NOT ENOUGH INFORMATION
71,Does dietary advice improve survival in adults with disease-related malnutrition?,REFUTED,SUPPORTED
74,Does providing active information improve knowledge and reduce anxiety in stroke survivors?,SUPPORTED,NOT ENOUGH INFORMATION
75,Does adding growth hormone to IVF treatment improve outcomes for women with infertility?,SUPPORTED,NOT ENOUGH INFORMATION
79,Does exercise-based cardiac rehabilitation improve health outcomes for people with coronary heart disease?,SUPPORTED,NOT ENOUGH INFORMATION
82,Do systemic postnatal corticosteroids help prevent bronchopulmonary dysplasia in preterm infants?,REFUTED,NOT ENOUGH INFORMATION
83,Does starting nasal CPAP early in preterm infants reduce the need for mechanical ventilation and the risk of bronchopulmonary dysplasia?,NOT ENOUGH INFORMATION,SUPPORTED
84,Does carotid endarterectomy under local anaesthetic reduce the risk of stroke and death compared to general anaesthetic?,SUPPORTED,NOT ENOUGH INFORMATION
86,Do antibiotics help prevent infections in cancer patients with long-term central venous catheters?,SUPPORTED,NOT ENOUGH INFORMATION
87,Does surgical management improve ulcer healing in patients with deep venous insufficiency?,NOT ENOUGH INFORMATION,SUPPORTED
88,Does paracetamol help relieve perineal pain after childbirth?,SUPPORTED,NOT ENOUGH INFORMATION
89,Do school-based interventions effectively increase physical activity and improve fitness in children and adolescents?,REFUTED,NOT ENOUGH INFORMATION
92,Is colchicine an effective treatment for acute gout?,SUPPORTED,NOT ENOUGH INFORMATION
93,Does slowly advancing enteral feed volumes reduce the risk of necrotising enterocolitis in very preterm or VLBW infants?,REFUTED,SUPPORTED
103,Do anthelmintics help reduce seizures in people with neurocysticercosis?,SUPPORTED,NOT ENOUGH INFORMATION
106,Does treating gastro-oesophageal reflux disease help improve asthma symptoms?,NOT ENOUGH INFORMATION,REFUTED
108,Is quarantine effective in reducing the spread of COVID-19?,REFUTED,SUPPORTED
