,Question,Newest Label,Outdated Label
0,Does carpal tunnel release surgery provide better outcomes than non-surgical treatment for carpal tunnel syndrome?,REFUTED,--
1,Is cranberry juice effective for treating urinary tract infections?,SUPPORTED,REFUTED
2,Is add-on lamotrigine effective in reducing seizures for people with drug-resistant focal epilepsy?,SUPPORTED,NOT ENOUGH INFORMATION
3,Do statins help reduce cardiovascular events in adults with chronic kidney disease not requiring dialysis?,SUPPORTED,NOT ENOUGH INFORMATION
4,Do antibiotics effectively reduce pain in children with acute otitis media?,SUPPORTED,NOT ENOUGH INFORMATION
5,Do cranberry products help prevent urinary tract infections in certain populations?,NOT ENOUGH INFORMATION,--
6,Does IVF improve pregnancy outcomes compared to other fertility treatments?,NOT ENOUGH INFORMATION,--
7,Do antioxidant vitamin and mineral supplements help slow the progression of age-related macular degeneration?,NOT ENOUGH INFORMATION,--
8,Does cell salvage reduce the need for blood transfusions in elective surgery?,REFUTED,NOT ENOUGH INFORMATION
9,Is ICSI more effective than c-IVF for couples with normal sperm count and motility?,NOT ENOUGH INFORMATION,--
10,Is clobetasol propionate cream an effective treatment for bullous pemphigoid?,SUPPORTED,--
11,Can interventions help prevent kidney complications in people with sickle cell disease?,SUPPORTED,REFUTED
12,Are combined oral contraceptive pills effective for managing painful menstrual cramps?,SUPPORTED,--
13,Does NIPPV reduce the need for additional ventilatory support compared to NCPAP in preterm infants after extubation?,SUPPORTED,--
14,Is sacral colpopexy a safer and more effective surgical option for apical vaginal prolapse compared to other interventions?,NOT ENOUGH INFORMATION,SUPPORTED
15,Do social network and social support interventions improve outcomes in cardiac rehabilitation for people with heart disease?,NOT ENOUGH INFORMATION,SUPPORTED
16,Does Serenoa repens help improve lower urinary tract symptoms in men with benign prostatic hyperplasia?,SUPPORTED,NOT ENOUGH INFORMATION
17,Does adding pentoxifylline to antibiotic therapy improve outcomes in neonates with sepsis or necrotising enterocolitis?,SUPPORTED,--
18,"Does the effectiveness of nicotine replacement therapy vary based on its form, dose, or timing of use?",NOT ENOUGH INFORMATION,--
19,Does nebulised hypertonic saline improve lung function in people with cystic fibrosis?,SUPPORTED,--
20,Are IL-6 blocking agents effective in treating severe COVID-19 compared to standard care or placebo?,SUPPORTED,REFUTED
21,Can antidepressant medications help people quit smoking cigarettes?,REFUTED,--
22,Does convalescent plasma transfusion reduce mortality in patients with COVID-19?,REFUTED,SUPPORTED
23,Do anticholinergic drugs improve symptoms of overactive bladder compared to placebo?,NOT ENOUGH INFORMATION,--
24,Are airway clearance techniques effective for people with cystic fibrosis?,SUPPORTED,NOT ENOUGH INFORMATION
25,Are mechanical methods for inducing labor as effective and safe as pharmacological methods?,SUPPORTED,--
26,Does postnatal administration of phenobarbital reduce the risk of intraventricular hemorrhage in preterm infants?,SUPPORTED,REFUTED
27,Do antibiotics improve recovery from acute bacterial conjunctivitis compared to no treatment?,SUPPORTED,NOT ENOUGH INFORMATION
28,Does inducing labor for suspected fetal macrosomia reduce the risk of birth complications?,NOT ENOUGH INFORMATION,REFUTED
29,Does planned hospital birth reduce risks for low-risk pregnant women compared to planned home birth?,REFUTED,NOT ENOUGH INFORMATION
30,Do interventions improve adherence to iron chelation therapy in people with sickle cell disease or thalassaemia?,SUPPORTED,REFUTED
31,Does splinting help improve symptoms in people with carpal tunnel syndrome?,SUPPORTED,REFUTED
32,Are treatments for acute non-arteritic central retinal artery occlusion effective?,SUPPORTED,--
33,Does remdesivir improve clinical outcomes in patients with COVID-19 compared to standard care?,SUPPORTED,NOT ENOUGH INFORMATION
34,Is telerehabilitation effective for improving quality of life in people with low vision?,SUPPORTED,--
35,Are glucocorticoids effective in treating croup in children?,REFUTED,SUPPORTED
36,Do bisphosphonates improve bone health in people with cystic fibrosis?,SUPPORTED,NOT ENOUGH INFORMATION
37,Do inhaled corticosteroids help reduce the risk of bronchopulmonary dysplasia in preterm infants?,NOT ENOUGH INFORMATION,REFUTED
38,Do inhaled bronchodilators help reduce complications in acute chest syndrome for people with sickle cell disease?,REFUTED,--
39,Can antibody tests accurately detect current or past SARS-CoV-2 infection?,SUPPORTED,--
40,Are systemic corticosteroids effective in reducing mortality for hospitalized COVID-19 patients?,SUPPORTED,--
41,Does long-term inhaled antibiotic therapy improve lung function in people with cystic fibrosis?,NOT ENOUGH INFORMATION,--
42,Do antifibrinolytic treatments improve outcomes for patients with aneurysmal subarachnoid haemorrhage?,NOT ENOUGH INFORMATION,SUPPORTED
43,Does breastfeeding support increase the duration and exclusivity of breastfeeding among mothers?,SUPPORTED,--
44,Is infant cataract surgery more effective than no surgery for treating bilateral congenital cataracts in children under 2 years old?,SUPPORTED,--
45,Does using tap water for wound cleansing affect healing compared to no cleansing?,SUPPORTED,--
46,Is surgery an effective treatment for obesity in children and adolescents?,SUPPORTED,NOT ENOUGH INFORMATION
47,Do interventions aimed at improving mobility after hip fracture surgery lead to better outcomes than conventional care?,NOT ENOUGH INFORMATION,--
48,Do antifungal treatments improve clinical status in patients with allergic bronchopulmonary aspergillosis and cystic fibrosis?,SUPPORTED,--
49,Does hydroxyurea help reduce pain and complications in people with sickle cell disease?,NOT ENOUGH INFORMATION,REFUTED
50,Does physical activity improve exercise capacity in people with cystic fibrosis?,SUPPORTED,--
51,Does carotid patch angioplasty lower the risk of severe arterial restenosis and recurrent strokes compared to primary closure?,NOT ENOUGH INFORMATION,--
52,Are rapid antigen tests effective for diagnosing SARS-CoV-2 infection?,NOT ENOUGH INFORMATION,--
53,Is vagus nerve stimulation an effective treatment for drug-resistant focal epilepsy?,SUPPORTED,--
54,Does using a shunt during carotid endarterectomy improve patient outcomes?,SUPPORTED,NOT ENOUGH INFORMATION
55,Does surgery provide better outcomes than non-surgical treatment for proximal humeral fractures?,REFUTED,NOT ENOUGH INFORMATION
56,Do WASH interventions help prevent soil-transmitted helminth infections?,NOT ENOUGH INFORMATION,--
57,Can signs and symptoms accurately determine if someone has COVID-19?,SUPPORTED,NOT ENOUGH INFORMATION
58,Does blastocyst-stage embryo transfer improve live birth rates compared to cleavage-stage transfer?,NOT ENOUGH INFORMATION,SUPPORTED
59,Does risedronate help prevent osteoporotic fractures in postmenopausal women?,SUPPORTED,--
60,Is tacrolimus an effective treatment for corticosteroid-refractory ulcerative colitis?,NOT ENOUGH INFORMATION,--
61,Do repeat doses of prenatal corticosteroids improve outcomes for infants at risk of preterm birth?,SUPPORTED,--
62,Do anticoagulants provide benefits for people hospitalized with COVID-19?,SUPPORTED,REFUTED
63,Do medications help reduce PTSD symptoms in adults?,SUPPORTED,NOT ENOUGH INFORMATION
64,Does a structured discharge plan for patients reduce hospital readmissions?,REFUTED,NOT ENOUGH INFORMATION
65,Are cephalomedullary nails more effective than extramedullary fixation implants for treating extracapsular hip fractures in older adults?,NOT ENOUGH INFORMATION,--
66,Does delaying enteral feeding for very preterm or VLBW infants reduce the risk of necrotising enterocolitis or death?,NOT ENOUGH INFORMATION,SUPPORTED
67,Does immediate oral antiplatelet therapy improve outcomes in patients with acute ischaemic stroke?,SUPPORTED,NOT ENOUGH INFORMATION
68,Do self-management interventions improve health-related quality of life for people with COPD compared to usual care?,SUPPORTED,NOT ENOUGH INFORMATION
69,Do orthodontic treatments effectively correct posterior crossbites in children and adolescents?,SUPPORTED,NOT ENOUGH INFORMATION
70,Is a restrictive red blood cell transfusion strategy as effective as a liberal strategy in reducing 30-day mortality?,REFUTED,NOT ENOUGH INFORMATION
71,Does dietary advice improve survival in adults with disease-related malnutrition?,REFUTED,SUPPORTED
72,Is injection sclerotherapy an effective and safe treatment for varicose veins?,SUPPORTED,--
73,Do antibiotics help reduce symptoms of sore throat in patients?,SUPPORTED,--
74,Does providing active information improve knowledge and reduce anxiety in stroke survivors?,SUPPORTED,NOT ENOUGH INFORMATION
75,Does adding growth hormone to IVF treatment improve outcomes for women with infertility?,SUPPORTED,NOT ENOUGH INFORMATION
76,Do macrolides help reduce asthma exacerbations compared to placebo?,SUPPORTED,--
77,Do rotavirus vaccines effectively prevent diarrhoea in children?,NOT ENOUGH INFORMATION,--
