,Group_ID,Study_ID,Label
0,1,24,REFUTED
1,,15807,REFUTED
2,2,65,SUPPORTED
3,,304,SUPPORTED
4,,8136,REFUTED
5,,11578,SUPPORTED
6,,13866,SUPPORTED
7,,13994,SUPPORTED
8,,15205,REFUTED
9,3,175,SUPPORTED
10,,10551,NOT ENOUGH INFORMATION
11,,10837,NOT ENOUGH INFORMATION
12,,15050,NOT ENOUGH INFORMATION
13,4,180,SUPPORTED
14,,3893,SUPPORTED
15,,6174,NOT ENOUGH INFORMATION
16,,15140,NOT ENOUGH INFORMATION
17,5,328,SUPPORTED
18,,2046,SUPPORTED
19,,8701,SUPPORTED
20,,15091,NOT ENOUGH INFORMATION
21,6,357,NOT ENOUGH INFORMATION
22,,8253,NOT ENOUGH INFORMATION
23,,16383,NOT ENOUGH INFORMATION
24,7,360,NOT ENOUGH INFORMATION
25,,2969,NOT ENOUGH INFORMATION
26,,4174,NOT ENOUGH INFORMATION
27,8,370,NOT ENOUGH INFORMATION
28,,8339,NOT ENOUGH INFORMATION
29,9,401,REFUTED
30,,11004,REFUTED
31,,14926,NOT ENOUGH INFORMATION
32,10,408,NOT ENOUGH INFORMATION
33,,1020,NOT ENOUGH INFORMATION
34,11,427,SUPPORTED
35,,6590,SUPPORTED
36,,8625,SUPPORTED
37,,10556,SUPPORTED
38,,15060,SUPPORTED
39,12,474,SUPPORTED
40,,1634,REFUTED
41,13,476,SUPPORTED
42,,1005,SUPPORTED
43,14,485,SUPPORTED
44,,3028,SUPPORTED
45,,9479,SUPPORTED
46,,14253,SUPPORTED
47,15,536,NOT ENOUGH INFORMATION
48,,12638,SUPPORTED
49,,15146,SUPPORTED
50,16,538,NOT ENOUGH INFORMATION
51,,8779,SUPPORTED
52,,11534,SUPPORTED
53,,14543,NOT ENOUGH INFORMATION
54,17,582,SUPPORTED
55,,3307,SUPPORTED
56,,5385,SUPPORTED
57,,11561,NOT ENOUGH INFORMATION
58,,14791,NOT ENOUGH INFORMATION
59,18,609,SUPPORTED
60,,5639,SUPPORTED
61,,14902,SUPPORTED
62,19,732,NOT ENOUGH INFORMATION
63,,1295,NOT ENOUGH INFORMATION
64,20,736,SUPPORTED
65,,12902,SUPPORTED
66,,15507,SUPPORTED
67,21,871,SUPPORTED
68,,3324,REFUTED
69,,6448,NOT ENOUGH INFORMATION
70,,11019,NOT ENOUGH INFORMATION
71,,14511,NOT ENOUGH INFORMATION
72,22,928,REFUTED
73,,3187,REFUTED
74,,6332,REFUTED
75,,6399,REFUTED
76,,9307,REFUTED
77,,9658,REFUTED
78,,12077,REFUTED
79,23,930,REFUTED
80,,6903,SUPPORTED
81,,12306,SUPPORTED
82,,14322,SUPPORTED
83,24,936,NOT ENOUGH INFORMATION
84,,5753,NOT ENOUGH INFORMATION
85,,13742,NOT ENOUGH INFORMATION
86,,15990,NOT ENOUGH INFORMATION
87,25,969,SUPPORTED
88,,7511,NOT ENOUGH INFORMATION
89,,12619,NOT ENOUGH INFORMATION
90,,14295,NOT ENOUGH INFORMATION
91,26,985,SUPPORTED
92,,6221,SUPPORTED
93,,12364,SUPPORTED
94,27,1011,SUPPORTED
95,,7372,REFUTED
96,,14677,REFUTED
97,28,1017,SUPPORTED
98,,6924,SUPPORTED
99,,9382,NOT ENOUGH INFORMATION
100,29,1053,NOT ENOUGH INFORMATION
101,,14422,REFUTED
102,30,280,REFUTED
103,,396,REFUTED
104,,1123,REFUTED
105,,1463,NOT ENOUGH INFORMATION
106,,1607,NOT ENOUGH INFORMATION
107,,1689,NOT ENOUGH INFORMATION
108,31,1130,SUPPORTED
109,,14372,REFUTED
110,32,1159,SUPPORTED
111,,8139,SUPPORTED
112,,11028,REFUTED
113,,11312,REFUTED
114,,13750,REFUTED
115,,15473,REFUTED
116,33,1200,SUPPORTED
117,,1298,SUPPORTED
118,34,599,SUPPORTED
119,,1201,NOT ENOUGH INFORMATION
120,,1526,NOT ENOUGH INFORMATION
121,35,261,SUPPORTED
122,,1209,SUPPORTED
123,36,1217,REFUTED
124,,5541,SUPPORTED
125,,8399,SUPPORTED
126,,12200,SUPPORTED
127,,16394,NOT ENOUGH INFORMATION
128,37,1220,SUPPORTED
129,,3345,SUPPORTED
130,,6009,NOT ENOUGH INFORMATION
131,,8233,SUPPORTED
132,,14648,SUPPORTED
133,38,1258,NOT ENOUGH INFORMATION
134,,14475,REFUTED
135,39,655,REFUTED
136,,1259,REFUTED
137,,1612,REFUTED
138,40,1305,SUPPORTED
139,,10582,SUPPORTED
140,,14017,SUPPORTED
141,,15605,SUPPORTED
142,41,1323,SUPPORTED
143,,2663,SUPPORTED
144,,7243,SUPPORTED
145,,15670,SUPPORTED
146,42,215,NOT ENOUGH INFORMATION
147,,1330,NOT ENOUGH INFORMATION
148,43,1432,NOT ENOUGH INFORMATION
149,,15199,SUPPORTED
150,44,1450,SUPPORTED
151,,5358,SUPPORTED
152,,14795,SUPPORTED
153,45,1472,SUPPORTED
154,,3719,SUPPORTED
155,,5963,SUPPORTED
156,,7962,SUPPORTED
157,,14234,SUPPORTED
158,46,1537,SUPPORTED
159,,1679,SUPPORTED
160,,5427,SUPPORTED
161,47,1632,SUPPORTED
162,,2635,SUPPORTED
163,,4747,NOT ENOUGH INFORMATION
164,,8696,SUPPORTED
165,,14235,REFUTED
166,48,1704,NOT ENOUGH INFORMATION
167,,14578,NOT ENOUGH INFORMATION
168,49,1706,SUPPORTED
169,,13316,SUPPORTED
170,,14339,SUPPORTED
171,50,1732,NOT ENOUGH INFORMATION
172,,8782,NOT ENOUGH INFORMATION
173,,11909,NOT ENOUGH INFORMATION
174,,13552,REFUTED
175,,14292,REFUTED
176,51,1147,SUPPORTED
177,,1760,SUPPORTED
178,52,1767,NOT ENOUGH INFORMATION
179,,3663,NOT ENOUGH INFORMATION
180,,3773,NOT ENOUGH INFORMATION
181,53,1784,NOT ENOUGH INFORMATION
182,,5551,NOT ENOUGH INFORMATION
183,,11435,NOT ENOUGH INFORMATION
184,,16034,NOT ENOUGH INFORMATION
185,54,30,SUPPORTED
186,,1785,SUPPORTED
187,,4407,SUPPORTED
188,,15191,SUPPORTED
189,55,1819,SUPPORTED
190,,9278,NOT ENOUGH INFORMATION
191,,15971,NOT ENOUGH INFORMATION
192,56,1857,REFUTED
193,,5655,REFUTED
194,,7313,REFUTED
195,,10140,NOT ENOUGH INFORMATION
196,,13997,NOT ENOUGH INFORMATION
197,,15346,REFUTED
198,57,1888,NOT ENOUGH INFORMATION
199,,8034,NOT ENOUGH INFORMATION
200,,13762,NOT ENOUGH INFORMATION
201,58,1910,SUPPORTED
202,,6150,SUPPORTED
203,,9791,NOT ENOUGH INFORMATION
204,59,1946,NOT ENOUGH INFORMATION
205,,2815,SUPPORTED
206,,12647,NOT ENOUGH INFORMATION
207,,14909,NOT ENOUGH INFORMATION
208,60,1967,SUPPORTED
209,,10835,SUPPORTED
210,,13031,SUPPORTED
211,,14332,SUPPORTED
212,61,1971,NOT ENOUGH INFORMATION
213,,3268,NOT ENOUGH INFORMATION
214,62,1977,SUPPORTED
215,,5266,SUPPORTED
216,,12197,SUPPORTED
217,,15362,SUPPORTED
218,63,1990,SUPPORTED
219,,2702,SUPPORTED
220,,6967,REFUTED
221,,11409,REFUTED
222,,14060,REFUTED
223,64,2033,SUPPORTED
224,,14181,NOT ENOUGH INFORMATION
225,65,2060,REFUTED
226,,6285,REFUTED
227,,11726,NOT ENOUGH INFORMATION
228,,13422,NOT ENOUGH INFORMATION
229,,14162,REFUTED
230,66,2065,NOT ENOUGH INFORMATION
231,,15798,NOT ENOUGH INFORMATION
232,67,2088,NOT ENOUGH INFORMATION
233,,13637,SUPPORTED
234,68,2113,SUPPORTED
235,,4598,SUPPORTED
236,,7373,SUPPORTED
237,,11773,SUPPORTED
238,,15785,NOT ENOUGH INFORMATION
239,69,2120,SUPPORTED
240,,3763,SUPPORTED
241,,6708,SUPPORTED
242,,8793,SUPPORTED
243,,10331,SUPPORTED
244,,12654,SUPPORTED
245,,15532,NOT ENOUGH INFORMATION
246,70,1260,SUPPORTED
247,,2134,SUPPORTED
248,,6890,SUPPORTED
249,,16054,NOT ENOUGH INFORMATION
250,71,2140,REFUTED
251,,11749,NOT ENOUGH INFORMATION
252,,15158,NOT ENOUGH INFORMATION
253,72,2201,REFUTED
254,,5549,SUPPORTED
255,,8703,SUPPORTED
256,,14123,SUPPORTED
257,73,2248,SUPPORTED
258,,14878,SUPPORTED
259,74,2254,SUPPORTED
260,,10581,SUPPORTED
261,,15894,SUPPORTED
262,75,2260,SUPPORTED
263,,14959,NOT ENOUGH INFORMATION
264,76,2267,SUPPORTED
265,,12791,SUPPORTED
266,,15326,NOT ENOUGH INFORMATION
267,77,227,SUPPORTED
268,,2338,SUPPORTED
269,78,2344,NOT ENOUGH INFORMATION
270,,5911,NOT ENOUGH INFORMATION
271,79,2362,REFUTED
272,,9989,REFUTED
273,,14262,REFUTED
274,80,2363,SUPPORTED
275,,9475,SUPPORTED
276,,12665,NOT ENOUGH INFORMATION
277,,15076,NOT ENOUGH INFORMATION
278,81,2444,REFUTED
279,,8543,REFUTED
280,,16127,REFUTED
281,82,2504,SUPPORTED
282,,6405,SUPPORTED
283,,13197,SUPPORTED
284,,14723,SUPPORTED
285,83,2652,REFUTED
286,,8141,NOT ENOUGH INFORMATION
287,,16238,NOT ENOUGH INFORMATION
288,84,2659,NOT ENOUGH INFORMATION
289,,7860,SUPPORTED
290,85,2664,SUPPORTED
291,,3993,SUPPORTED
292,,5303,SUPPORTED
293,,14492,NOT ENOUGH INFORMATION
294,86,2696,NOT ENOUGH INFORMATION
295,,8875,NOT ENOUGH INFORMATION
296,87,2706,SUPPORTED
297,,7238,SUPPORTED
298,,14667,NOT ENOUGH INFORMATION
299,88,232,NOT ENOUGH INFORMATION
300,,2720,SUPPORTED
301,,10845,SUPPORTED
302,,13189,SUPPORTED
303,,14503,NOT ENOUGH INFORMATION
304,89,2726,SUPPORTED
305,,14695,NOT ENOUGH INFORMATION
306,90,2753,REFUTED
307,,14530,NOT ENOUGH INFORMATION
308,91,1502,NOT ENOUGH INFORMATION
309,,2764,NOT ENOUGH INFORMATION
310,,16390,NOT ENOUGH INFORMATION
311,92,2810,SUPPORTED
312,,12213,SUPPORTED
313,,12524,SUPPORTED
314,93,2811,SUPPORTED
315,,4589,NOT ENOUGH INFORMATION
316,94,2824,REFUTED
317,,7674,SUPPORTED
318,,13806,SUPPORTED
319,,14293,SUPPORTED
320,95,2849,REFUTED
321,,6341,REFUTED
322,,8967,REFUTED
323,96,2858,NOT ENOUGH INFORMATION
324,,3109,NOT ENOUGH INFORMATION
325,97,2872,SUPPORTED
326,,12903,SUPPORTED
327,,15521,SUPPORTED
